ID,COUNTRY,CO2_EMISSIONS,POLICY_STRINGENCY,POPULATION,GDP_PER_CAPITA,REAL_PPP_MINIMUM_WAGE,AVERAGE_WAGE,AVG_HOURS,PATENTS,CORPORATE_TAX,BARGAINING_RIGHTS,UNION_DENSITY,IMMIGRANTS,LIFE_EXPECTANCY,STEEL_CAPACITY,HEALTH_EXPENDITURE,FREIGHT,TRANSPORT,TRANSPORT_INVESTMENT,BACHELOR,FELLINGS,ENVIRONMENTAL_EXPENDITURE,TOTAL_ENERGY_GENERATION,GENERATION_NUCLEAR,GENERATION_FOSSIL_FUELS,GENERATION_RENEWABLES,GENERATION_GEOTHERMAL,GENERATION_SOLAR_TIDE_WAVE_FUEL,GENERATION_WIND,GENERATION_BIOMASS_AND_WASTE,GENERATION_HYDROELECTRIC_PUMPED_STORAGE,ENERGY_CONSUMPTION,AREA,POP_DEN
1,Australia,411.1022723,3.72,24992860,1419808.2,24874.9,54401,1722.3,659,30,60,13.7,14856774,82.8,5.4,9.3,627430,331487,22280538129,198830,30083,0,244.54328,0,204.50828,40.209,0.001,8.073,12.597,3.5,-0.174,230.63528,7741220,3.228542788
2,Austria,69.07311164,2.95,8837707,524728.5,0,53903,1502,1297,25,98,26.3,6679444,81.8,8.5,10.4,49953,0,2424018000,16221,23511,13731.84,62.4025,0,14.7674,49.3641,0.0001,1.204,6.239,5.506,-1.729,65.6085,83871,105.3726199
3,Belgium,137.8357015,2.47,11403740,626399.3,22872.6,55590,1583.3,860.6,25,96,50.3,8491529,81.7,8.9,10.3,50506,129667,2001277386,52603,5057.12,16803.34,80.88682,40.1867,23.96812,17.09,0,3.275,6.388,7.159,-0.358,83.19682,30528,373.5501834
4,Canada,624.8282295,3.42,37058856,1929897.1,21280.5,53198,1707.7,2584.1,15,28.1,25.9,23900785,82,15.3,10.8,903981,494413,8644720587,0,156718,0,640.5226,95.1312,117.2274,428.263,0,3.774,28.49,7.35,-0.099,509.2616,9984670,3.711575445
5,Chile,87.25921065,0,18751405,476738.4,7330.7,26916,1940.6,19,25,19.6,17.7,0,80.4,2,9.1,0,0,0,87801,53921,0,76.2416,0,41.8676,34.374,0.064,3.843,3.516,6.062,0,72.0296,756102,24.80009972
6,Colombia,75.92214295,0,49834240,787496.7,7860.9,0,0,12.7,0,0,0,0,77.1,2,7.3,0,0,0,0,0,0,73.35522,0,15.14622,58.209,0,0.014,0.003,1.423,0,67.86422,1138914,43.75592889
7,Czech Republic,110.7815889,2.38,10626430,461993.7,11609,29281,1784.4,249.1,19,30.4,11.5,8571715,79.1,6.8,7.8,57859,102657,2018424157,38830,28471,5893.37,81.0223,26.78468,44.85962,9.739,0,2.247,0.582,5.058,-0.361,63.6103,78867,134.7386106
8,Denmark,36.2006145,3.85,5789957,347078.2,0,57150,1381.9,615.6,22,82,66.5,4358618,81,0,10,17544,73197,2748269669,36319,4281,7278.12,30.53688,0,7.89788,22.639,0,0.751,14.78,7.09,0,33.42288,43094,134.3564533
9,Estonia,5.586862983,0,1321977,51624.5,10443.5,30297,1724,15,20,18.6,4.3,0,78.4,0,6.8,6950,3632,277611000,5162,12500,635.51,12.25544,0,10.31744,1.938,0,0.01,0.723,1.179,0,8.74244,45228,29.22917219
10,Finland,45.50249186,3.43,5515525,283888.9,0,45698,1546,687.4,20,89.3,60.3,4244575,81.8,4.5,9.1,39239,79624,2285325350,32872,87191,4386.48,65.40812,21.574,11.93612,31.898,0,0.157,4.795,12.336,0,83.06512,338145,16.31112393
11,France,376.8766245,3.57,66941698,3315116.4,21949,46481,1495.5,5390.4,32.02,98.5,8.8,48068377,82.8,19.1,11.2,232406,971981,22296948140,0,52687.47,52283.73,534.11584,381.846,59.11284,95.127,0.12,10.762,24.711,10.172,-1.97,455.38802,640679,104.4855505
12,Germany,826.0476237,2.92,82914191,4678568.3,24015.6,53638,1387.4,16655.2,15.83,56,16.5,0,81,51.9,11.7,493577,1098463,25600022500,314817,84628.2,82565.36,618.31626,72.163,325.31426,223.086,0.157,41.024,103.707,58.22,-2.247,538.83326,357022,232.2383242
13,Greece,75.84095235,2.13,10725886,336486,14307.4,27459,1956,64.9,24,25.5,20.2,9273198,81.9,3.7,7.8,28688,43839,4884525845,47047,1431.93,2647.38,52.67172,0,38.90472,13.8,0,3.991,5.537,0.31,-0.033,57.80672,131957,81.28319074
14,Hungary,52.46434974,2.63,9767600,331972.7,11544.5,26223,1728.9,66.3,9,22.8,7.9,8503379,76.2,2,6.4,58596,93508,2916600501,28601,7767,2409.08,31.17774,15.219,12.23974,3.719,0.001,0.425,0.737,2.342,0,40.59974,93028,104.9963452
15,Iceland,3.577060386,0,352722,21701,0,68006,1449.4,7.3,20,92,91.8,0,82.9,0,8.8,1195,8293,112174636.8,2340,0.5,0,18.84588,0,0.00188,18.844,4.944,0,0.008,0,0,18.25488,102775,3.431982486
16,Ireland,37.40326834,2.05,4857015,436037.5,20928.3,50490,1781.8,229.7,12.5,32.5,24.1,3034605,82.3,0,6.8,12475,0,2747897500,0,4053.5,1941.73,29.16808,0,20.33408,9.03,0,0.011,7.445,0.889,-0.196,26.31308,70273,69.11637471
17,Israel,72.19963666,0,8872943,381561.7,15287.8,39403,1912.9,1102.7,23,26.1,25,0,82.9,0.6,7.5,0,0,0,0,0,0,63.48834,0,61.79654,1.6918,0,1.511,0.18,0.0004,0,55.45234,22072,401.9999547
18,Italy,362.4798676,2.77,60421797,2664946.8,0,39189,1722.3,2715.6,24,80,34.4,48892559,83.4,34.3,8.7,159127,905784,7993165500,196449,12755,34972.73,280.6678,0,175.7518,105.568,5.82,24.6,17.565,21.852,-0.652,299.7608,301340,200.510377
19,Japan,1272.290456,3.5,126443180,5459154.9,16607.6,38617,1680,49964.6,23.2,16.5,17,108224783,84.2,130.1,11.1,229836,1359535,47904259596,560256,48051,0,986.80706,11.61,770.70506,207.624,2.212,75.473,6.49,40.931,-3.132,946.16506,377915,334.5810037
20,Korea,820.5263825,2.63,51635256,2224985.3,21586.1,42285,1987.5,16770.2,25,13.1,10.5,0,82.7,81.6,8,151408,479553,24560118866,0,6750,32797.88,530.55094,141.278,369.65594,20.908,0,9.014,2.168,6.898,-1.291,511.76094,100401,514.2902561
21,Latvia,8.088147745,0,1927170,61600.4,9011.7,28454,1692,4.3,20,13.8,11.9,0,74.9,0.9,6.3,31113,2834,269260100,7489,16119,501.44,7.38026,0,1.94486,5.4354,0,0.0004,0.149,0.93,0,6.84226,64559,29.85129881
22,Lithuania,14.76924573,0,2801541,106496.9,13143.5,28914,1634,7.8,15,7.1,7.1,0,75.8,0,6.8,69630,33170,440115000,17447,11220,663.46,3.07978,0,0.69278,2.607,0,0.067,1.356,0.587,-0.22,10.84278,65300,42.90261868
23,Luxembourg,10.72405133,0,607950,75188.9,26252.5,68681,1505.7,32.4,18.19,59,31.8,356342,82.4,2.4,5.4,7959,0,501534671,611,526,687.75,0.38274,0,0.20774,0.673,0,0.108,0.235,0.248,-0.498,6.40474,2586,235.0928074
24,Mexico,473.1758501,0,125327797,2603906.6,2510.3,17594,2148.9,198.7,30,13.8,12,62842638,75,27.7,5.5,347733,537270,4304265493,624411,7072.01,0,305.1032,10.57192,243.98828,50.543,5.653,1.074,9.913,2.164,0,261.4702,1964375,63.80034209
25,Netherlands,240.9388199,3.63,17231622,1032244.1,24826.5,56552,1436.4,1539.7,25,77.6,16.4,12733410,81.9,7.8,10,103344,167300,4159651000,100303,1268,21433.53,111.44316,3.263,88.93716,19.243,0,2.326,10.569,6.287,0,109.53516,41543,414.7900248
26,New Zealand,40.08545892,0,4885500,216114.7,22475.8,44031,1754,75.9,28,15.3,18.8,2889633,81.8,1,9.3,29202,3578,1303069434,33729,31411,0,42.99374,0,7.77474,35.219,7.459,0.12,2.12,0.586,0,40.08574,268838,18.17265416
27,Norway,36.66448537,3.26,5311916,357409.9,0,54027,1382.5,277.8,22,72.5,49.2,3666921,82.8,0.8,10.5,29614,75057,5713510602,29853,16298,5712.03,146.5439,0,2.5709,144.469,0,0,2.852,0.498,-0.496,122.2259,323802,16.40482764
28,Poland,324.7539764,2.58,38413139,1299276.9,14363.8,31970,1787,360.8,19,17.2,12.7,31288416,77.7,12,6.3,469161,302772,3532820026,0,46600,9701.82,160.6043,0,136.7653,24.1,0,0.173,14.574,6.801,-0.261,152.8953,312685,122.849318
29,Portugal,60.21254067,2.13,10283822,374535.1,13114.5,26634,1722,68.5,30,73.9,15.3,8699515,81.4,1.7,9.6,35979,100969,318237000,40465,12588.49,703.45,54.85254,0,32.75054,22.591,0.193,0.992,12.112,3.504,-0.489,47.06754,92090,111.6714301
30,Slovakia,35.63002707,2.99,5446771,186409.2,10553.3,25452,1703.9,41.5,21,25,10.7,4316438,77.4,4.9,6.9,43305,38896,1184680116,20556,9865,1869.35,25.88524,14.016,5.30724,6.681,0,0.633,0.006,1.721,-0.119,27.65024,49035,111.0792495
31,Slovenia,13.90226675,2.28,2070050,84888.8,16578.6,40220,1598.7,89.6,19,70.9,20.4,0,81.5,0.7,8.3,7598,29632,419802000,8451,5251,1010.54,15.2704,5.968,4.9914,4.403,0,0.284,0.006,0.299,-0.092,13.8624,20273,102.108716
32,Spain,300.3874266,2.22,46733038,1987306.9,17891.7,38758,1695.5,748.6,25,83.6,13.6,34848140,83.5,21.7,9,259732,401178,6335399000,142924,20005,21974.36,259.91788,55.628,118.58288,87.094,0,13.856,47.929,6.85,-1.387,242.01388,505370,92.47291687
33,Sweden,52.64087543,3.1,10175214,574132.7,0,46695,1466,1261.4,21.4,90,64.9,6463865,82.6,6,10.9,65367,140023,4343889355,32305,90900,9634.33,160.9816,63.063,1.6826,96.247,0,0.23,17.609,13.757,-0.011,133.4046,450295,22.59677323
34,Switzerland,40.14289951,3.29,8513227,608720.9,0,66567,1561.2,1572.3,8.5,57.9,14.9,6043350,83.8,1.4,12.1,29637,124921,7956950793,53172,8505,13565.61,57.7614,19.591,0.7144,38.675,0,1.683,0.133,3.105,-1.219,58.7534,41277,206.2462631
35,Turkey,408.7766476,1.83,81407211,2325616.8,14060.2,0,1832,532.1,22,7,9.2,47583832,78.3,49.6,4.4,336524,353860,8882823434,439042,20196,4524.46,283.0861,0,196.6151,86.471,5.101,3.629,17.793,2.124,0,247.8511,783562,103.893771
36,United Kingdom,420.3881339,3.29,66435550,3257782.3,21764.4,47226,1535,3567.3,19,26,23.4,47684484,81.3,12.1,10.3,178411,788507,25287766754,345022,13517,36235.62,318.26236,63.887,151.94536,103.417,0,11.529,50.004,36.023,-0.987,306.87836,243610,272.7127376
37,United States,5133.437,3.17,327167434,21433226,15080,65836,1746.1,31013.4,21,11.6,10.1,217165205,78.7,109.7,17,6659498,6591557,1.03E+11,1512595,417357.93,0,4034.270559,804.949635,2536.136679,699.6787931,15.92677424,77.276459,254.3026952,75.82952883,-6.494548,3864.470227,9833517,33.27064305
